,GSM3690866_G13_htseq,GSM3690863_G10_htseq,GSM3690855_G05_htseq,GSM3690867_G14_htseq,GSM3690857_G07_htseq,GSM3690868_G09_htseq,GSM3690864_G11_htseq,GSM3690852_G03_htseq,GSM3690851_G01_htseq,GSM3690865_G12_htseq,GSM3690858_G04_htseq,GSM3690856_G06_htseq
1600002D24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600002H07Rik,270,276,5,7,4,174,291,0,361,386,978,450
1600002K03Rik,47,56,0,0,0,0,51,0,0,40,0,1
1600010M07Rik,1,9,0,0,2,2,5,0,1,0,0,3
1600012H06Rik,62,234,0,0,0,85,389,35,482,0,0,461
1600014C10Rik,606,242,0,279,0,0,980,1,107,15,0,48
1600014C23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600014K23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600016N20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,44,71,1,0,0,38,123,0,151,178,0,211
1600023N17Rik,0,0,0,0,0,0,65,0,0,0,0,0
1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029D21Rik,75,7,0,0,2,6,18,3,0,77,249,29
1600029I14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029O15Rik,16,12,3,7,0,8,14,4,12,9,14,18
1700001C02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001C19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001D01Rik,0,0,0,0,0,30,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,0,0,0,0,0,0,0,0,0,0,0,5
1700001G17Rik,0,0,0,0,0,0,16,0,0,0,0,0
1700001J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001J11Rik,1,4,0,0,0,0,0,0,0,0,0,0
1700001K19Rik,0,23,0,0,0,1,22,0,0,40,0,26
1700001K23Rik,0,22,0,0,0,0,0,0,0,0,0,0
1700001L05Rik,0,0,0,1,0,80,0,0,0,0,0,56
1700001L19Rik,104,0,0,0,0,0,0,1,0,0,0,0
1700001O22Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700001P01Rik,0,36,0,0,0,39,4,0,0,32,0,0
1700003C15Rik,0,0,0,0,0,0,0,0,0,0,7,0
1700003D09Rik,0,0,0,2,0,0,0,0,0,0,0,0
1700003E16Rik,0,121,0,0,5,1,1,0,318,125,0,27
1700003F12Rik,0,0,0,0,0,0,0,0,71,0,0,13
1700003F17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003G13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,7,0,0,0,4,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0,3,0,0
1700003M02Rik,0,0,0,0,0,0,0,5,0,0,0,0
1700003M07Rik,36,39,1,8,66,8,4,17,184,33,46,76
1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,18,0,0,26,0,0
1700007G11Rik,0,0,0,0,0,0,0,0,0,88,0,0
1700007J10Rik,86,86,20,51,110,70,84,13,48,79,70,114
1700007K09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007K13Rik,0,0,0,31,0,0,18,0,0,51,0,48
1700007L15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007P06Rik,23,18,0,3,0,2,3,0,10,4,4,134
1700008A04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008F21Rik,0,2,0,0,0,2,0,0,0,0,0,0
1700008I05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008J07Rik,0,37,0,0,0,12,16,0,31,33,0,11
1700008K24Rik,0,0,50,0,0,0,0,0,0,0,0,0
1700008O03Rik,13,2,47,7,24,8,137,6,21,52,4,21
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010I02Rik,6,5,9,3,3,3,3,0,3,8,11,19
1700010I14Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700010J16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0,9,0,0
1700011A15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011B04Rik,0,5,0,0,0,0,0,0,0,65,0,0
1700011E24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011J10Rik,35,11,0,0,0,38,9,1,0,80,2,4
1700011L22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,7,0,0,0,0,0,0,0,0,0,0,22
1700012B15Rik,3,14,0,1,0,24,63,0,47,55,261,111
1700012D01Rik,0,0,0,0,0,1,0,0,0,0,46,0
1700012D14Rik,0,27,0,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700012L04Rik,0,0,0,0,0,0,0,0,0,0,2,0
1700012P22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013F07Rik,0,31,0,0,0,0,0,0,139,0,0,0
1700013G23Rik,0,0,0,0,0,0,3,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015E13Rik,0,0,0,0,0,0,0,0,0,0,207,0
1700015F17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016C15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016D06Rik,17,9,1,0,5,6,9,10,18,6,19,14
1700016G22Rik,0,0,0,18,0,0,0,0,0,0,0,0
1700016H13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016K19Rik,0,0,0,2,0,0,0,0,0,0,0,0
1700016L04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,120,132,0,0,0,161,159,1,0,0,8,0
1700017D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017G19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018B08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018C11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,1,0,0,0,68,0,0,57,0,0
1700018L02Rik,0,0,0,0,0,0,0,0,0,0,0,30
1700019A02Rik,0,0,0,0,0,0,0,2,1,0,0,0
1700019B03Rik,65,0,0,0,0,0,0,0,0,0,0,0
1700019B21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019D03Rik,41,129,0,296,0,95,115,68,0,54,0,363
1700019E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019G17Rik,0,0,2,0,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,2,0,0,0,0,0,0,0,0
1700019L03Rik,19,25,3,0,0,0,20,0,0,103,0,0
1700019M22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020D05Rik,0,0,0,0,0,1,1,0,0,0,0,11
1700020G17Rik,0,0,0,0,0,0,0,0,2,0,0,0
1700020I14Rik,303,339,0,14,112,30,537,7,68,211,139,275
1700020L24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020M21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021F05Rik,585,293,13,3,548,135,686,0,0,180,257,40
1700021F07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021K19Rik,341,578,51,159,10,470,315,110,375,242,305,340
1700021N21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022A22Rik,15,0,0,0,0,0,0,0,0,0,0,0
1700022E09Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022I11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022P22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023A16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023C21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023E05Rik,0,0,0,0,0,0,0,0,0,0,164,95
1700023F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023F06Rik,87,6,0,0,0,0,3,0,0,0,6,0
1700023L04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,21,4,0,0,0,0,0
1700024F13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024P03Rik,0,10,0,0,0,0,3,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024P16Rik,3,0,0,0,0,1,0,0,9,0,0,0
1700025B11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025E21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025F24Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700025G04Rik,492,550,7,251,1303,4,642,140,495,178,502,267
1700025K24Rik,0,0,0,0,0,0,0,0,0,0,0,1
1700025M24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025N23Rik,90,90,28,32,9,36,52,15,25,45,90,139
1700026D08Rik,0,0,0,0,0,32,0,0,0,0,0,1
1700026D11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026F02Rik,19,0,0,0,0,0,0,0,0,0,1,0
1700026L06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,1,0,0,16,0,0,0
1700027H10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028B04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028E10Rik,0,0,0,0,10,0,2,0,0,0,0,17
1700028I16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028J19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028K03Rik,78,153,0,0,0,0,11,3,0,66,0,0
1700028M03Rik,3,0,0,0,0,0,7,0,0,0,0,0
1700028P14Rik,0,0,0,0,44,0,174,0,0,6,0,4
1700028P15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700029H14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029I15Rik,0,13,0,0,0,0,0,17,0,5,0,0
1700029J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029J07Rik,19,6,2,5,1,1,11,0,1,4,9,3
1700029M20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029P11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030C10Rik,48,3,1,0,0,2,1,1,9,0,5,2
1700030F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030F18Rik,0,0,0,0,0,14,0,0,0,0,0,0
1700030J22Rik,0,4,0,630,135,3,96,0,0,0,1,0
1700030K09Rik,59,205,12,1,0,20,119,0,0,0,0,0
1700030L20Rik,0,1,0,0,0,0,0,0,0,0,0,1
1700030M09Rik,0,0,0,0,0,0,0,0,42,0,0,0
1700030N03Rik,0,0,0,0,0,0,0,0,7,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031A10Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,6,0,0,0,22,0,0
1700034H15Rik,55,16,0,5,25,8,17,9,13,42,50,35
1700034I23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034J05Rik,0,12,0,0,0,0,1,0,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034P13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700037C18Rik,0,31,0,0,0,0,0,0,0,0,0,114
1700037H04Rik,513,238,0,5,656,114,260,117,337,171,3,267
1700039E15Rik,3,0,0,0,0,0,0,0,0,0,0,0
1700039E22Rik,0,0,0,0,0,6,0,0,0,0,0,0
1700040L02Rik,0,13,0,0,0,0,0,0,1,0,0,0
1700040N02Rik,0,4,0,0,0,0,0,0,2,0,0,0
1700041C23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042B14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042O10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700044C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700045I19Rik,0,1,0,0,0,0,106,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047E10Rik,12,5,16,2,15,9,6,1,17,11,19,35
1700047G03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047I17Rik2,0,0,0,0,0,0,0,0,0,0,0,0
1700047L14Rik,0,0,4,0,0,0,0,0,0,0,0,0
1700047M11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700048M11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700048O20Rik,46,100,5,19,8,14,18,16,18,183,47,37
1700049E15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700049G17Rik,103,3,2,2,0,176,352,0,0,195,0,29
1700049L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0,1,0,0,0,0
1700052I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700052K11Rik,200,30,0,0,0,0,17,0,91,159,1,0
1700052N19Rik,184,89,0,0,0,0,554,10,0,138,0,0
1700054A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054O13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700055C04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700055N04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700056E22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700057G04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700057H15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700058G18Rik,0,20,0,0,0,27,0,0,32,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700060C20Rik,0,3,0,0,0,0,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061G19Rik,13,0,0,0,0,0,0,0,0,0,0,30
1700061I17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063D05Rik,25,24,0,7,29,13,16,4,46,20,25,11
1700063O14Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,0,0,0,0,0,0,0,0,8,0
1700065D16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065I16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065I17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066B19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066J24Rik,40,16,0,3,0,0,1,0,0,0,0,0
1700066M21Rik,401,93,34,1,0,4,18,55,4,325,647,115
1700066N21Rik,0,0,0,0,21,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700067K01Rik,54,0,0,2,0,2,0,0,0,0,0,20
1700067P10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700071M16Rik,0,0,0,0,0,0,0,0,0,2,0,64
1700072B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0,0,0,0,0,2
1700073E17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700074P13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080E11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080N15Rik,67,117,0,0,108,12,80,0,148,74,142,859
1700080O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700081H22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084C01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084E18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084F23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0,2,0,0,0,0
1700085B03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700086L19Rik,216,153,0,2,1,92,412,38,0,1,0,33
1700086O06Rik,5,30,0,1,0,122,29,6,3,4,2,1
1700088E04Rik,0,26,0,0,0,0,18,0,0,15,0,22
1700091E21Rik,0,0,0,1,0,0,0,0,7,0,0,0
1700091H14Rik,3,1,0,0,5,0,2,0,0,11,0,1
1700092C02Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092M07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700093K21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700094D03Rik,535,204,5,18,39,82,13,33,12,36,40,127
1700094J05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700094M24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095A21Rik,1,0,0,0,0,0,0,0,0,14,25,16
1700095B10Rik,0,0,0,0,0,0,0,0,0,0,0,0
